home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Orlando Magic,Boston Celtics,-164,145,2025-04-09 23:10:00+00:00,2025-04-09 18:10:00-05:00
Washington Wizards,Philadelphia 76ers,-105,-115,2025-04-09 23:10:00+00:00,2025-04-09 18:10:00-05:00
Toronto Raptors,Charlotte Hornets,-385,300,2025-04-09 23:40:00+00:00,2025-04-09 18:40:00-05:00
Dallas Mavericks,Los Angeles Lakers,148,-175,2025-04-09 23:40:00+00:00,2025-04-09 18:40:00-05:00
Chicago Bulls,Miami Heat,110,-130,2025-04-10 00:10:00+00:00,2025-04-09 19:10:00-05:00
Utah Jazz,Portland Trail Blazers,190,-233,2025-04-10 01:10:00+00:00,2025-04-09 20:10:00-05:00
Sacramento Kings,Denver Nuggets,142,-169,2025-04-10 02:10:00+00:00,2025-04-09 21:10:00-05:00
Golden State Warriors,San Antonio Spurs,-1111,700,2025-04-10 02:10:00+00:00,2025-04-09 21:10:00-05:00
Phoenix Suns,Oklahoma City Thunder,430,-556,2025-04-10 02:10:00+00:00,2025-04-09 21:10:00-05:00
Los Angeles Clippers,Houston Rockets,-270,220,2025-04-10 02:40:00+00:00,2025-04-09 21:40:00-05:00
