home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Orlando Magic,Atlanta Hawks,-175,148,2025-04-08 23:10:00+00:00,2025-04-08 18:10:00-05:00
Charlotte Hornets,Memphis Grizzlies,650,-1000,2025-04-08 23:10:00+00:00,2025-04-08 18:10:00-05:00
Cleveland Cavaliers,Chicago Bulls,-588,440,2025-04-08 23:10:00+00:00,2025-04-08 18:10:00-05:00
Indiana Pacers,Washington Wizards,-2000,1100,2025-04-08 23:10:00+00:00,2025-04-08 18:10:00-05:00
New York Knicks,Boston Celtics,-108,-108,2025-04-08 23:30:00+00:00,2025-04-08 18:30:00-05:00
Brooklyn Nets,New Orleans Pelicans,-130,110,2025-04-08 23:40:00+00:00,2025-04-08 18:40:00-05:00
Oklahoma City Thunder,Los Angeles Lakers,-769,530,2025-04-09 00:10:00+00:00,2025-04-08 19:10:00-05:00
Milwaukee Bucks,Minnesota Timberwolves,160,-192,2025-04-09 00:10:00+00:00,2025-04-08 19:10:00-05:00
Phoenix Suns,Golden State Warriors,250,-312,2025-04-09 02:00:00+00:00,2025-04-08 21:00:00-05:00
Los Angeles Clippers,San Antonio Spurs,-769,575,2025-04-09 02:40:00+00:00,2025-04-08 21:40:00-05:00
