hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Chicago Bulls,Miami Heat,-112,-108,113.0,111.2,115.4,112.4,0.552,0.54,103.32,96.88,0.5,0.5,110,110,0.5999999999999943,4.200000000000003,0.0,6.439999999999998,-4,0.008928571428571428,0.009259259259259259,-0.00033068783068783067
Sacramento Kings,Dallas Mavericks,-192,160,115.6,114.5,115.2,115.0,0.546,0.551,99.33,100.13,0.5,0.5,110,110,0.5999999999999943,0.7000000000000028,0.0,-0.7999999999999972,-352,0.005208333333333333,0.00625,-0.0010416666666666673
