home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Detroit Pistons,Sacramento Kings,-303,250,2025-04-07 23:10:00+00:00,2025-04-07 18:10:00-05:00
Miami Heat,Philadelphia 76ers,-1111,700,2025-04-07 23:40:00+00:00,2025-04-07 18:40:00-05:00
