home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Los Angeles Clippers,Dallas Mavericks,-833,500,2025-04-06 02:40:36+00:00,2025-04-05 21:40:36-05:00
Detroit Pistons,Memphis Grizzlies,172,-227,2025-04-05T23:10:00Z,2025-04-05 18:10:00-05:00
Philadelphia 76ers,Minnesota Timberwolves,1100,-5000,2025-04-05T23:10:53Z,2025-04-05 18:10:53-05:00
Miami Heat,Milwaukee Bucks,134,-172,2025-04-06T00:12:00Z,2025-04-05 19:12:00-05:00
Los Angeles Clippers,Dallas Mavericks,-400,320,2025-04-06T02:40:00Z,2025-04-05 21:40:00-05:00
