hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Philadelphia 76ers,Atlanta Hawks,450,-556,111.6,112.8,117.3,114.5,0.528,0.541,97.92,103.63,0.5,0.5,110,110,-2.9000000000000057,4.5,0.0,-5.709999999999994,1006,0.0022222222222222222,0.0017985611510791368,0.00042366107114308544
Detroit Pistons,Milwaukee Bucks,-227,195,114.4,114.1,111.7,112.1,0.55,0.562,100.37,100.08,0.5,0.5,110,110,2.3000000000000114,-2.3999999999999915,0.0,0.29000000000000625,-422,0.004405286343612335,0.005128205128205128,-0.000722918784592793
Indiana Pacers,Orlando Magic,-323,270,115.0,108.5,113.8,109.5,0.563,0.506,100.63,96.59,0.5,0.5,110,110,5.5,5.299999999999997,0.0,4.039999999999992,-593,0.0030959752321981426,0.003703703703703704,-0.0006077284715055612
Boston Celtics,Charlotte Hornets,-3333,1300,119.6,107.3,110.2,115.4,0.563,0.504,97.0,98.24,0.5,0.5,110,110,4.199999999999989,2.9000000000000057,0.0,-1.2399999999999949,-4633,0.00030003000300030005,0.0007692307692307692,-0.0004692007662304692
New York Knicks,Cleveland Cavaliers,-323,260,117.6,121.6,113.6,111.5,0.558,0.58,97.99,100.3,0.5,0.5,110,110,6.099999999999994,-8.0,0.0,-2.3100000000000023,-583,0.0030959752321981426,0.0038461538461538464,-0.0007501786139557038
Chicago Bulls,Washington Wizards,-1429,850,113.0,106.1,115.4,117.5,0.552,0.513,103.32,102.2,0.5,0.5,110,110,-4.5,9.300000000000011,0.0,1.1199999999999903,-2279,0.0006997900629811056,0.001176470588235294,-0.0004766805252541884
New Orleans Pelicans,Miami Heat,550,-769,110.5,111.2,119.1,112.4,0.522,0.54,99.66,96.88,0.5,0.5,110,110,-1.9000000000000057,7.8999999999999915,0.0,2.780000000000001,1319,0.0018181818181818182,0.0013003901170351106,0.0005177917011467076
Dallas Mavericks,Toronto Raptors,-588,455,114.5,109.5,115.0,114.1,0.551,0.521,100.13,100.26,0.5,0.5,110,110,0.4000000000000057,5.5,0.0,-0.13000000000000966,-1043,0.0017006802721088435,0.002197802197802198,-0.0004971219256933543
Minnesota Timberwolves,Brooklyn Nets,-2000,950,114.8,108.4,110.6,115.1,0.551,0.515,98.28,96.39,0.5,0.5,110,110,-0.29999999999999716,2.1999999999999886,0.0,1.8900000000000006,-2950,0.0005,0.0010526315789473684,-0.0005526315789473684
Denver Nuggets,Memphis Grizzlies,-286,240,119.0,117.7,115.3,112.3,0.573,0.555,100.76,103.85,0.5,0.5,110,110,6.700000000000003,-2.4000000000000057,0.0,-3.089999999999989,-526,0.0034965034965034965,0.004166666666666667,-0.0006701631701631701
Utah Jazz,Oklahoma City Thunder,395,-500,110.4,118.9,118.4,106.2,0.536,0.559,100.77,100.6,0.5,0.5,110,110,4.200000000000003,-0.5,0.0,0.1700000000000017,895,0.002531645569620253,0.002,0.0005316455696202532
Portland Trail Blazers,Golden State Warriors,580,-833,111.5,113.3,114.5,111.3,0.524,0.533,99.22,99.54,0.5,0.5,110,110,0.20000000000000284,1.2000000000000028,0.0,-0.3200000000000074,1413,0.0017241379310344827,0.0012004801920768306,0.0005236577389576521
Sacramento Kings,Los Angeles Clippers,200,-238,115.6,111.6,115.2,104.7,0.546,0.533,99.33,95.4,0.5,0.5,110,110,10.899999999999991,3.6000000000000085,0.0,3.9299999999999926,438,0.005,0.004201680672268907,0.0007983193277310927
Phoenix Suns,San Antonio Spurs,-189,165,115.2,113.9,116.7,115.9,0.564,0.545,98.44,99.99,0.5,0.5,110,110,-0.7000000000000028,2.799999999999997,0.0,-1.5499999999999972,-354,0.005291005291005291,0.006060606060606061,-0.0007696007696007699
Los Angeles Lakers,Houston Rockets,-435,350,114.3,114.3,113.6,109.7,0.554,0.517,98.4,98.85,0.5,0.5,110,110,4.599999999999994,-0.7000000000000028,0.0,-0.44999999999998863,-785,0.0022988505747126436,0.002857142857142857,-0.0005582922824302135
