home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Indiana Pacers,Cleveland Cavaliers,-417,320,2025-04-10 23:10:00+00:00,2025-04-10 18:10:00-05:00
Detroit Pistons,New York Knicks,-192,160,2025-04-10 23:10:00+00:00,2025-04-10 18:10:00-05:00
Brooklyn Nets,Atlanta Hawks,575,-833,2025-04-10 23:40:00+00:00,2025-04-10 18:40:00-05:00
Milwaukee Bucks,New Orleans Pelicans,-1111,725,2025-04-11 00:10:00+00:00,2025-04-10 19:10:00-05:00
Memphis Grizzlies,Minnesota Timberwolves,-115,-105,2025-04-11 01:30:00+00:00,2025-04-10 20:30:00-05:00
