home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Philadelphia 76ers,Atlanta Hawks,450,-556,2025-04-11 23:10:00+00:00,2025-04-11 18:10:00-05:00
Detroit Pistons,Milwaukee Bucks,-227,195,2025-04-11 23:10:00+00:00,2025-04-11 18:10:00-05:00
Indiana Pacers,Orlando Magic,-323,270,2025-04-11 23:10:00+00:00,2025-04-11 18:10:00-05:00
Boston Celtics,Charlotte Hornets,-3333,1300,2025-04-11 23:40:00+00:00,2025-04-11 18:40:00-05:00
New York Knicks,Cleveland Cavaliers,-323,260,2025-04-11 23:40:00+00:00,2025-04-11 18:40:00-05:00
Chicago Bulls,Washington Wizards,-1429,850,2025-04-12 00:10:00+00:00,2025-04-11 19:10:00-05:00
New Orleans Pelicans,Miami Heat,550,-769,2025-04-12 00:10:00+00:00,2025-04-11 19:10:00-05:00
Dallas Mavericks,Toronto Raptors,-588,455,2025-04-12 00:40:00+00:00,2025-04-11 19:40:00-05:00
Minnesota Timberwolves,Brooklyn Nets,-2000,950,2025-04-12 01:10:00+00:00,2025-04-11 20:10:00-05:00
Denver Nuggets,Memphis Grizzlies,-286,240,2025-04-12 01:10:00+00:00,2025-04-11 20:10:00-05:00
Utah Jazz,Oklahoma City Thunder,395,-500,2025-04-12 01:40:00+00:00,2025-04-11 20:40:00-05:00
Portland Trail Blazers,Golden State Warriors,580,-833,2025-04-12 02:10:00+00:00,2025-04-11 21:10:00-05:00
Sacramento Kings,Los Angeles Clippers,200,-238,2025-04-12 02:10:00+00:00,2025-04-11 21:10:00-05:00
Phoenix Suns,San Antonio Spurs,-189,165,2025-04-12 02:10:00+00:00,2025-04-11 21:10:00-05:00
Los Angeles Lakers,Houston Rockets,-435,350,2025-04-12 02:40:00+00:00,2025-04-11 21:40:00-05:00
