home_team,away_team,home_odds,away_odds,commence_time
Charlotte Hornets,Utah Jazz,-143,120,2025-03-31T23:10:00Z
Indiana Pacers,Sacramento Kings,-189,158,2025-03-31T23:10:00Z
Orlando Magic,Los Angeles Clippers,122,-143,2025-03-31T23:10:00Z
Washington Wizards,Miami Heat,305,-370,2025-03-31T23:10:00Z
Memphis Grizzlies,Boston Celtics,165,-189,2025-03-31T23:40:00Z
Oklahoma City Thunder,Chicago Bulls,-1000,660,2025-04-01T00:10:00Z
Dallas Mavericks,Brooklyn Nets,-417,320,2025-04-01T00:40:00Z
Los Angeles Lakers,Houston Rockets,-175,155,2025-04-01T02:10:00Z
