hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Detroit Pistons,Sacramento Kings,-303,250,114.4,115.6,111.7,115.2,0.55,0.546,100.37,99.33,0.5,0.5,110,110,-0.7999999999999972,-3.8999999999999915,0.0,1.0400000000000063,-553,0.0033003300330033004,0.004,-0.0006996699669966997
Miami Heat,Philadelphia 76ers,-1111,700,111.2,111.6,112.4,117.3,0.54,0.528,96.88,97.92,0.5,0.5,110,110,-6.099999999999994,0.8000000000000114,0.0,-1.0400000000000063,-1811,0.0009000900090009,0.0014285714285714286,-0.0005284814195705285
