home_team,away_team,home_odds,away_odds,commence_time
Cleveland Cavaliers,Los Angeles Clippers,-270,220,2025-03-30T19:40:00Z
New York Knicks,Portland Trail Blazers,-333,270,2025-03-30T22:10:00Z
Milwaukee Bucks,Atlanta Hawks,-175,145,2025-03-30T23:10:00Z
New Orleans Pelicans,Charlotte Hornets,-147,124,2025-03-30T23:10:00Z
Minnesota Timberwolves,Detroit Pistons,-278,225,2025-03-30T23:10:00Z
San Antonio Spurs,Golden State Warriors,470,-667,2025-03-30T23:10:00Z
Philadelphia 76ers,Toronto Raptors,215,-263,2025-03-30T23:40:00Z
Phoenix Suns,Houston Rockets,115,-135,2025-03-31T01:10:00Z
Indiana Pacers,Sacramento Kings,-196,164,2025-03-31T23:10:00Z
