feature,importance
recent_form_limited,0.26469402056396046
overall_team_advantage,0.10853777970799083
net_rating_gap,0.09051611143241338
net_rating_diff,0.08903708114179966
home_NET_RATING,0.04737471003914473
four_factors_total_diff,0.04544796770018054
efg_x_oreb,0.03510391936520426
four_factors_dominance,0.03140174588803892
away_NET_RATING,0.02922509613273528
efg_advantage,0.02352992996125806
efg_advantage_scaled,0.022817517393790742
def_rating_diff,0.020571674200276096
off_rating_diff,0.0200432889295467
pace_advantage,0.019646070005930816
home_four_factors,0.019622189627288435
efg_x_tov,0.019016546830072648
away_four_factors,0.018838879364630846
home_EFG_PCT,0.01690889116312901
oreb_advantage,0.016900565665862868
away_EFG_PCT,0.016683081996528872
oreb_advantage_scaled,0.01599305152523971
tov_advantage_scaled,0.014161246061604979
tov_advantage,0.013928635303372124
ft_advantage,0.0
ft_advantage_scaled,0.0
home_court_advantage,0.0
