feature,importance
implied_home_prob,0.8309774112386112
implied_away_prob,0.66546831913702
away_recent_win_pct,0.3943550667187868
home_recent_win_pct,0.2294513076227399
away_OREB_PCT,0.1461235570051319
recent_win_diff,0.13205704754108769
home_OREB_PCT,0.11940420225044919
home_PACE,0.08399566272638824
away_PACE,0.07959556116293015
home_OFF_RATING,0.07340463823205846
pace_diff,0.07236642145135358
oreb_advantage,0.06656564088805934
away_TM_TOV_PCT,0.06388641686383235
away_DREB_PCT,0.06150343031892863
home_TM_TOV_PCT,0.060750689437511995
away_OFF_RATING,0.05487974574208266
def_rating_diff,0.04947467566936511
away_NET_RATING,0.04651107366034668
off_rating_diff,0.033091049544201764
away_AST_PCT,0.027792234371170732
away_EFG_PCT,0.02591885326712629
net_rating_diff,0.024639899520063905
home_EFG_PCT,0.02089727429939373
away_DEF_RATING,0.020049319106925593
overall_advantage,0.018551574111378526
four_factors_composite,0.014131870781248996
home_AST_PCT,0.012803305832542229
home_DREB_PCT,0.012484765593430439
home_NET_RATING,0.009530056292891867
home_court_advantage,0.005226488666029236
tov_advantage,0.0022230273327647596
home_DEF_RATING,0.0015873893873118783
home_odds,0.00022738749085855504
efg_advantage,0.00019418637471816402
odds_diff,0.00018839678141205118
away_odds,3.899071007874383e-05
