feature,importance
recent_win_diff,0.20013161360467616
overall_advantage,0.12059029438574885
net_rating_diff,0.11232109838231681
home_recent_win_pct,0.09285305589716866
away_recent_win_pct,0.07506214249474703
home_NET_RATING,0.057483789653847574
four_factors_composite,0.040005588142486836
efg_advantage,0.03982203084762748
away_NET_RATING,0.03801991639534533
home_DEF_RATING,0.02208712766431961
home_OFF_RATING,0.019115694739515725
away_OFF_RATING,0.015385763434240045
away_EFG_PCT,0.013274299081086129
away_DEF_RATING,0.012618849559997855
home_EFG_PCT,0.012255425215462037
off_rating_diff,0.011914915132238137
def_rating_diff,0.011380944994011634
tov_advantage,0.010259899021866374
pace_diff,0.009377372804816694
away_PACE,0.00856571026712459
home_DREB_PCT,0.008562132841067684
home_AST_PCT,0.008213694485292146
away_AST_PCT,0.008191462486990138
home_PACE,0.008110276623055513
oreb_advantage,0.008061312732052564
away_OREB_PCT,0.007893492881381971
away_TM_TOV_PCT,0.007864485072231323
away_DREB_PCT,0.007129803609508203
home_OREB_PCT,0.006823484934349322
home_TM_TOV_PCT,0.006624322615427549
ft_advantage,0.0
home_court_advantage,0.0
