home_team,away_team,home_odds,away_odds,commence_time
Indiana Pacers,Charlotte Hornets,-1429,800,2025-04-02T23:10:00Z
Cleveland Cavaliers,New York Knicks,-500,385,2025-04-02T23:10:00Z
Washington Wizards,Sacramento Kings,615,-833,2025-04-02T23:10:00Z
Boston Celtics,Miami Heat,-526,400,2025-04-02T23:40:00Z
Houston Rockets,Utah Jazz,-1667,900,2025-04-03T00:10:00Z
Dallas Mavericks,Atlanta Hawks,-167,140,2025-04-03T00:40:00Z
Denver Nuggets,San Antonio Spurs,-417,330,2025-04-03T01:10:00Z
Oklahoma City Thunder,Detroit Pistons,-833,550,2025-04-03T01:40:00Z
Los Angeles Clippers,New Orleans Pelicans,-1667,950,2025-04-03T02:40:00Z
