home_team,away_team,home_odds,away_odds,commence_time
Philadelphia 76ers,Milwaukee Bucks,500,-714,2025-04-03T23:10:00Z
Washington Wizards,Orlando Magic,810,-1429,2025-04-03T23:10:00Z
Miami Heat,Memphis Grizzlies,180,-208,2025-04-03T23:30:00Z
Brooklyn Nets,Minnesota Timberwolves,580,-833,2025-04-03T23:40:00Z
Toronto Raptors,Portland Trail Blazers,160,-192,2025-04-03T23:40:00Z
Los Angeles Lakers,Golden State Warriors,-122,102,2025-04-04T02:00:00Z
