home_team,away_team,home_odds,away_odds,commence_time
Detroit Pistons,Cleveland Cavaliers,220,-270,2025-03-28T23:10:00Z
Brooklyn Nets,Los Angeles Clippers,550,-714,2025-03-28T23:40:00Z
Toronto Raptors,Charlotte Hornets,-238,200,2025-03-28T23:40:00Z
New Orleans Pelicans,Golden State Warriors,575,-833,2025-03-29T00:10:00Z
Milwaukee Bucks,New York Knicks,-102,-116,2025-03-29T00:10:00Z
Minnesota Timberwolves,Phoenix Suns,-256,215,2025-03-29T00:10:00Z
Denver Nuggets,Utah Jazz,-1667,1000,2025-03-29T01:10:00Z
