home_team,away_team,home_odds,away_odds,commence_time
Detroit Pistons,New Orleans Pelicans,-588,440,2025-03-23T19:10:00Z
Utah Jazz,Cleveland Cavaliers,750,-1250,2025-03-23T19:40:00Z
Atlanta Hawks,Philadelphia 76ers,-435,340,2025-03-23T22:10:00Z
Portland Trail Blazers,Boston Celtics,250,-312,2025-03-23T22:10:00Z
Miami Heat,Charlotte Hornets,-161,136,2025-03-23T22:10:00Z
Toronto Raptors,San Antonio Spurs,-112,-108,2025-03-23T22:10:00Z
Houston Rockets,Denver Nuggets,-294,235,2025-03-23T23:10:00Z
Los Angeles Clippers,Oklahoma City Thunder,136,-161,2025-03-24T01:00:00Z
