home_team,away_team,home_odds,away_odds,commence_time
Cleveland Cavaliers,San Antonio Spurs,-909,640,2025-03-27T23:00:00Z
Orlando Magic,Dallas Mavericks,-263,215,2025-03-27T23:00:00Z
Washington Wizards,Indiana Pacers,430,-556,2025-03-27T23:00:00Z
Miami Heat,Atlanta Hawks,-128,108,2025-03-27T23:30:00Z
Chicago Bulls,Los Angeles Lakers,134,-159,2025-03-28T00:00:00Z
Oklahoma City Thunder,Memphis Grizzlies,-476,360,2025-03-28T00:00:00Z
Utah Jazz,Houston Rockets,500,-714,2025-03-28T01:00:00Z
Sacramento Kings,Portland Trail Blazers,-222,190,2025-03-28T02:00:00Z
