home_team,away_team,home_odds,away_odds,commence_time
Orlando Magic,Sacramento Kings,-115,-105,2025-03-29T21:10:00Z
Washington Wizards,Brooklyn Nets,-130,110,2025-03-29T23:10:00Z
Philadelphia 76ers,Miami Heat,285,-345,2025-03-29T23:40:00Z
San Antonio Spurs,Boston Celtics,550,-833,2025-03-30T00:10:00Z
Chicago Bulls,Dallas Mavericks,-147,124,2025-03-30T00:10:00Z
Oklahoma City Thunder,Indiana Pacers,-455,360,2025-03-30T00:10:00Z
Memphis Grizzlies,Los Angeles Lakers,-135,114,2025-03-30T00:10:00Z
