home_team,away_team,home_odds,away_odds,commence_time
Milwaukee Bucks,Phoenix Suns,-238,200,2025-04-01T23:30:00Z
Atlanta Hawks,Portland Trail Blazers,-196,170,2025-04-01T23:40:00Z
New York Knicks,Philadelphia 76ers,-909,650,2025-04-01T23:40:00Z
Chicago Bulls,Toronto Raptors,-179,150,2025-04-02T00:10:00Z
Memphis Grizzlies,Golden State Warriors,148,-167,2025-04-02T00:10:00Z
San Antonio Spurs,Orlando Magic,145,-175,2025-04-02T00:10:00Z
Denver Nuggets,Minnesota Timberwolves,-154,130,2025-04-02T02:10:00Z
